t (s),V (mV)
8.161,19.5415
10.202,19.451
12.243,19.3745
14.283,19.2909
15.371,19.2922
16.935,19.2416
18.975,19.1778
21.016,19.1178
23.056,19.0589
26.122,18.9754
28.163,18.9207
30.203,18.8678
32.244,18.8164
34.284,18.7664
35.372,18.7381
36.936,18.7004
38.976,18.6521
41.017,18.6044
43.057,18.5589
45.098,18.5141
47.138,18.4703
50.205,18.4056
52.245,18.3618
54.286,18.3182
55.373,18.2954
56.937,18.262
58.978,18.221
61.018,18.18
63.059,18.1388
65.099,18.0987
67.139,18.0581
69.18,18.0177
71.22,17.9782
74.287,17.9199
75.374,17.8998
76.938,17.8686
78.979,17.8305
81.019,17.7932
83.06,17.7539
85.1,17.7158
87.141,17.6781
89.181,17.6406
91.222,17.6029
93.262,17.5653
95.303,17.527
97.893,17.48
99.934,17.4428
101.974,17.4058
104.014,17.3692
106.055,17.3328
108.095,17.2956
110.136,17.2599
112.176,17.2231
114.217,17.1862
116.257,17.1486
118.298,17.1134
120.888,17.0679
122.928,17.0313
124.969,16.9954
127.009,16.96
129.05,16.924
131.09,16.8882
133.131,16.8514
135.171,16.8166
137.211,16.781
139.252,16.7443
141.292,16.7099
144.358,16.6577
145.923,16.6257
147.963,16.589
150.004,16.5544
152.044,16.5188
154.085,16.4837
156.125,16.4507
158.166,16.4175
160.206,16.3836
162.247,16.3501
164.287,16.3173
167.353,16.2667
168.918,16.2397
170.958,16.2062
172.999,16.1719
175.039,16.1385
177.08,16.1058
179.12,16.0727
181.161,16.0397
183.201,16.0058
185.242,15.9724
187.282,15.9385
190.349,15.8865
191.913,15.8615
193.954,15.8283
195.994,15.7954
198.035,15.7621
200.075,15.7295
202.116,15.696
204.156,15.6639
206.197,15.6308
208.237,15.5994
210.278,15.5674
213.344,15.5172
214.909,15.4921
216.949,15.461
218.989,15.4291
221.03,15.397
223.07,15.366
225.111,15.3337
227.151,15.3015
229.192,15.2692
231.232,15.2399
233.273,15.2079
235.387,15.1736
236.95,15.1502
238.991,15.1179
241.031,15.0867
243.071,15.0555
245.112,15.0248
247.152,14.9933
249.193,14.9629
251.233,14.9332
253.273,14.9031
255.314,14.8719
257.354,14.8413
259.944,14.8026
261.985,14.7717
264.025,14.7415
266.066,14.7113
268.106,14.6809
270.146,14.6505
272.187,14.621
274.227,14.5348
276.268,14.5024
278.308,14.5262
280.348,14.4959
282.939,14.3904
284.979,14.3588
287.019,14.3285
289.06,14.2961
291.1,14.2698
293.141,14.2336
295.181,14.2021
297.221,14.1738
299.262,14.143
301.302,14.107
303.342,14.0872
305.933,14.0448
307.973,14.0151
310.013,13.9861
312.054,13.9548
314.094,13.9281
316.134,13.8951
318.175,13.8704
320.215,13.8384
322.256,13.8204
324.296,13.7888
325.384,13.7743
327.973,13.7318
330.014,13.7051
332.054,13.6746
334.094,13.6513
336.135,13.6223
338.175,13.595
340.215,13.5666
342.256,13.5354
344.296,13.5056
345.384,13.4902
346.948,13.4699
348.988,13.4412
351.028,13.4248
354.095,13.3708
356.135,13.3431
358.175,13.3129
360.216,13.2972
362.256,13.2639
364.296,13.2295
365.384,13.2142
366.948,13.1936
368.988,13.1653
371.029,13.1376
373.069,13.1187
375.109,13.0855
378.176,13.0431
380.216,13.0149
382.256,12.9881
384.297,12.965
385.385,12.9469
386.948,12.9252
388.989,12.8988
391.029,12.8739
393.07,12.8465
395.11,12.8198
397.15,12.795
399.191,12.7671
402.257,12.7291
404.298,12.6982
405.386,12.684
406.949,12.6689
408.99,12.6389
411.03,12.6106
413.07,12.5886
415.111,12.5581
417.151,12.5317
419.192,12.5095
421.232,12.4823
423.272,12.456
425.386,12.4292
426.95,12.4091
428.99,12.383
431.031,12.3562
433.071,12.3317
435.111,12.3034
437.152,12.2774
439.192,12.2526
441.233,12.2275
443.273,12.2032
445.313,12.1759
447.354,12.1531
449.944,12.1216
451.985,12.0961
454.025,12.0705
456.065,12.0453
458.106,12.0202
460.146,11.9977
462.186,11.9709
464.227,11.9451
466.267,11.9157
468.308,11.8923
470.348,11.869
472.938,11.838
474.979,11.8201
477.019,11.7888
479.06,11.7712
481.1,11.7402
483.14,11.7143
485.181,11.692
487.221,11.6655
489.262,11.6422
491.302,11.6171
493.342,11.5925
495.933,11.5628
497.973,11.538
500.013,11.5158
502.054,11.4918
504.094,11.47
506.134,11.4446
508.175,11.4294
510.215,11.3969
512.256,11.3713
514.296,11.3521
515.384,11.3374
517.973,11.315
520.014,11.285
522.054,11.2674
524.094,11.2413
526.135,11.2184
528.175,11.195
530.216,11.1728
532.256,11.1511
534.296,11.1275
535.384,11.1184
536.948,11.0963
538.988,11.1496
541.029,11.1063
544.095,11.0826
546.135,11.058
548.175,11.036
550.216,11.0091
552.256,10.9585
554.296,10.9545
555.385,10.9386
556.948,10.9242
558.988,10.9009
561.029,10.9074
563.069,10.8555
565.109,10.8317
568.176,10.7966
570.216,10.7754
572.257,10.7536
574.297,10.7325
575.385,10.7202
576.949,10.699
578.989,10.6786
581.029,10.6554
583.07,10.6261
585.11,10.6011
587.149,10.589
589.189,10.5448
592.254,10.5182
594.293,10.4977
595.38,10.4874
596.942,10.4699
598.982,10.4476
601.021,10.4283
603.06,10.4063
605.1,10.3846
607.139,10.3643
609.178,10.3405
611.218,10.3192
613.257,10.2982
615.369,10.2763
616.932,10.262
618.971,10.2409
621.01,10.2209
623.05,10.2123
625.089,10.1788
627.128,10.1556
629.167,10.1349
631.207,10.1135
633.246,10.0914
635.285,10.0722
636.372,10.0611
638.96,10.0343
640.999,10.014
643.04,9.9972
645.08,9.9719
647.121,9.9523
649.161,9.9319
651.201,9.9093
653.242,9.8892
655.282,9.869
656.369,9.8604
657.933,9.8455
659.973,9.8255
662.014,9.8069
665.08,9.7774
667.12,9.7721
669.16,9.7399
671.201,9.7194
673.241,9.6986
675.281,9.6781
676.369,9.6651
677.932,9.6509
679.973,9.6299
682.013,9.6109
684.053,9.5908
686.094,9.572
689.16,9.5422
691.2,9.5238
693.24,9.5364
695.28,9.5092
696.368,9.4975
697.932,9.4824
699.972,9.4637
