t (s),V (mV)
3.881,26.1406
4.88,26.1329
5.88,26.0841
6.881,25.9981
7.88,25.8979
8.88,25.7915
9.88,25.6816
10.88,25.5685
11.88,25.4545
12.88,25.3392
13.88,25.2227
14.881,25.107
15.881,24.9906
16.881,24.8737
17.881,24.7591
18.881,24.6422
19.881,24.5276
20.88,24.413
21.881,24.2991
22.881,24.1856
23.88,24.0738
24.88,23.9609
25.88,23.8505
26.88,23.741
27.881,23.6313
28.88,23.5219
29.881,23.4137
30.88,23.3049
31.88,23.198
32.88,23.0909
33.881,22.9863
34.88,22.8786
35.88,22.7738
36.881,22.6705
37.881,22.5664
38.88,22.4625
39.88,22.3596
40.88,22.2569
41.88,22.1547
42.88,22.0529
43.88,21.9511
44.88,21.8507
45.881,21.75
46.88,21.6502
47.881,21.5505
48.88,21.4518
49.88,21.3535
50.88,21.255
51.88,21.1576
52.881,21.0599
53.88,20.9638
54.88,20.8675
55.881,20.7726
56.88,20.6779
57.88,20.5839
58.881,20.4915
59.88,20.3977
60.88,20.3054
61.88,20.2135
62.881,20.1225
63.88,20.0317
64.88,19.9409
65.88,19.8486
66.88,19.7625
67.88,19.6732
68.88,19.585
69.881,19.4969
70.88,19.4092
71.881,19.3212
72.881,19.2338
73.881,19.1472
74.881,19.0605
75.881,18.9739
76.881,18.8893
77.88,18.8037
78.88,18.7183
79.88,18.6339
80.881,18.5496
81.88,18.4654
82.881,18.3821
83.88,18.2984
84.88,18.2158
85.88,18.1337
86.88,18.0521
87.881,17.9713
88.88,17.891
89.88,17.8114
90.881,17.7319
91.88,17.6525
92.881,17.5739
93.88,17.4959
94.88,17.4184
95.881,17.3418
96.88,17.2648
97.88,17.1884
98.881,17.1121
99.88,17.036
100.88,16.9607
101.88,16.8861
102.881,16.8118
103.88,16.7375
104.881,16.6645
105.88,16.5897
106.881,16.5169
107.88,16.4441
108.881,16.3727
109.88,16.3005
110.88,16.2289
111.88,16.158
112.88,16.0871
113.88,16.016
114.88,15.9464
115.88,15.8767
116.88,15.8065
117.88,15.7374
118.88,15.668
119.881,15.599
120.88,15.5296
121.88,15.462
122.88,15.3947
123.88,15.3268
124.88,15.2599
125.881,15.1922
126.881,15.1251
127.88,15.0599
128.88,14.994
129.88,14.9276
130.88,14.8619
131.88,14.7974
132.881,14.7344
133.88,14.6705
134.88,14.6067
135.88,14.5423
136.88,14.48
137.88,14.4171
138.88,14.3544
139.88,14.2913
140.88,14.2295
141.881,14.1681
142.88,14.1059
143.881,14.0447
144.88,13.9836
145.881,13.9228
146.88,13.8626
147.881,13.8024
148.88,13.7424
149.881,13.6828
150.88,13.6238
151.881,13.5651
152.88,13.4949
153.88,13.4504
154.88,13.3919
155.88,13.3346
156.881,13.2763
157.88,13.2196
158.88,13.1628
159.88,13.1067
160.881,13.0492
161.881,12.9929
162.88,12.9384
163.88,12.8821
164.88,12.8273
165.88,12.7722
166.88,12.7176
167.881,12.6375
168.88,12.5836
169.88,12.5306
170.881,12.4734
171.88,12.4203
172.88,12.3639
173.88,12.3097
174.881,12.2574
175.881,12.2032
176.88,12.151
177.88,12.0976
178.88,12.0457
