t (s),V (mV)
6.122,21.1982
8.163,21.1159
10.203,21.0335
12.244,20.9476
14.284,20.862
16.325,20.7731
18.365,20.6889
20.406,20.6034
21.97,20.5385
25.037,20.4125
27.077,20.3286
29.118,20.2455
31.158,20.1628
33.199,20.0691
35.239,20.0001
37.28,19.9193
39.32,19.8381
41.361,19.755
43.401,19.6744
44.966,19.6126
48.032,19.4929
50.073,19.4141
52.113,19.3355
54.154,19.2579
56.194,19.1799
58.235,19.1023
60.275,19.0254
62.316,18.9498
64.356,18.873
66.397,18.7978
67.961,18.7391
71.028,18.626
73.068,18.5522
75.109,18.4775
77.149,18.4033
79.19,18.3281
81.23,18.2573
83.271,18.1846
85.311,18.1118
87.352,18.0333
89.392,17.9625
90.957,17.9121
94.023,17.7946
96.063,17.7297
98.104,17.6446
100.144,17.5805
102.185,17.5077
104.225,17.4336
106.266,17.3731
108.306,17.3037
110.346,17.2331
111.435,17.2015
112.998,17.1495
115.038,17.0814
118.104,16.9809
120.145,16.9134
122.185,16.8441
124.226,16.7767
126.266,16.7092
128.307,16.6467
130.347,16.576
131.435,16.5472
132.999,16.4928
135.039,16.427
137.08,16.3558
139.12,16.2966
142.186,16.2011
144.227,16.1368
146.267,16.0722
148.308,16.0091
150.348,15.9418
151.436,15.9133
153,15.8653
155.04,15.8068
157.081,15.7449
159.121,15.6868
161.162,15.6216
163.202,15.5597
166.269,15.4695
168.309,15.4084
170.35,15.3487
171.438,15.3165
173.001,15.2701
175.042,15.2111
177.082,15.151
179.122,15.0921
181.163,15.0337
183.203,14.9267
185.244,14.8851
187.284,14.8637
190.35,14.7704
191.439,14.7427
193.002,14.6992
195.042,14.6407
197.083,14.5832
199.123,14.5264
201.164,14.4698
203.204,14.4139
205.244,14.3571
207.285,14.3027
209.325,14.2085
211.366,14.2028
213.956,14.1331
215.996,14.0782
218.037,14.0235
220.077,13.9694
222.117,13.9148
224.158,13.8607
226.198,13.8072
228.239,13.6917
230.279,13.6378
232.319,13.5876
234.36,13.5352
236.95,13.469
238.99,13.4153
241.031,13.328
243.071,13.3045
245.112,13.2499
247.152,13.2141
249.192,13.1489
251.233,13.0918
253.273,13.04
255.314,12.9886
257.354,12.9364
259.944,12.8713
261.985,12.8181
264.025,12.7685
266.066,12.7167
268.106,12.6676
270.147,12.6191
272.187,12.5673
274.227,12.5197
276.268,12.4706
278.308,12.4206
280.348,12.3681
282.939,12.306
284.979,12.2601
287.019,12.2121
289.06,12.1616
291.1,12.1143
293.141,12.0659
295.181,12.0181
297.221,11.9708
299.262,11.9256
301.302,11.8765
