0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.15
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.01; 0.17
0.01; 0.17
0.02; 0.17
0.01; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.02; 0.14
0.02; 0.16
0.01; 0.17
0.00; 0.17
0.01; 0.17
0.02; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.16
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.02; 0.15
0.07; 0.11
0.07; 0.11
0.04; 0.10
0.06; 0.12
0.09; 0.10
0.07; 0.11
0.03; 0.13
0.04; 0.14
0.01; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.04; 0.15
0.01; 0.17
0.00; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.16
0.00; 0.17
0.01; 0.17
0.01; 0.17
0.00; 0.16
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.01; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
0.00; 0.17
